total,uniq
160458,20625
105295,16467
97328,15346
30575,8279
77806,25125
246944,29017
57035,10358
104919,23699
28739,10349
35774,9061
21096,7035
3409,1302
147859,24218
11039,3591
15200,4695
47166,10928
94297,21086
338125,43049
74619,16186
64429,12545
138883,22412
42693,8649
96958,14048
100656,21532
189510,29493
12382,5007
135294,23954
7726,2772
10351,3582
52334,16392
135779,23927
76297,13447
88124,21534
70204,15680
731366,42452
5189,2134
66350,14247
117624,16769
121744,20001
66440,14567
43117,9923
9311,3746
15271,4260
25917,5620
6283,2220
91119,21616
34906,8241
10888,3261
43229,10646
71211,16421
78157,16695
57396,9210
88062,33349
138517,30186
20852,7021
23368,8171
101360,17655
67515,11000
20116,5997
59551,12714
5574,2213
73476,15758
124289,13742
